Id;Country;StartDate;EndDate;Type;Name;Comment
xxxxxx;IT;2020-01-01;;Public;IT Capodanno,EN New Year's Day,DE Neujahr;
xxxxxx;IT;2020-01-06;;Public;IT Epifania,EN Epiphany,DE Heilige drei Könige;
xxxxxx;IT;2020-04-13;;Public;IT Lunedì di Pasqua,EN Easter Monday,DE Ostermontag;
xxxxxx;IT;2020-04-25;;Public;IT Anniversario della liberazione d'Italia,EN Liberation Day,DE Jahrestag der Befreiung;
xxxxxx;IT;2020-05-01;;Public;IT Festa del lavoro,EN Labour Day,DE Tag der Arbeit;
xxxxxx;IT;2020-06-02;;Public;IT Festa della Repubblica,EN Republic Day,DE Tag der Republik;
xxxxxx;IT;2020-08-15;;Public;IT Assunzione di Maria,EN Assumption Day,DE Mariä Himmelfahrt;
xxxxxx;IT;2020-11-01;;Public;IT Ognissanti,EN All Saints' Day,DE Allerheiligen;
xxxxxx;IT;2020-12-08;;Public;IT Immacolata Concezione,EN Immaculate Conception,DE Mariä Empfängnis;
xxxxxx;IT;2020-12-25;;Public;IT Natale di Gesù,EN Christmas Day,DE Weihnachten;
xxxxxx;IT;2020-12-26;;Public;IT Santo Stefano,EN St. Stephen's Day,DE Stefanstag;

xxxxxx;IT;2021-01-01;;Public;IT Capodanno,EN New Year's Day,DE Neujahr;
xxxxxx;IT;2021-01-06;;Public;IT Epifania,EN Epiphany,DE Heilige drei Könige;
xxxxxx;IT;2021-04-05;;Public;IT Lunedì di Pasqua,EN Easter Monday,DE Ostermontag;
xxxxxx;IT;2021-04-25;;Public;IT Anniversario della liberazione d'Italia,EN Liberation Day,DE Jahrestag der Befreiung;
xxxxxx;IT;2021-05-01;;Public;IT Festa del lavoro,EN Labour Day,DE Tag der Arbeit;
xxxxxx;IT;2021-06-02;;Public;IT Festa della Repubblica,EN Republic Day,DE Tag der Republik;
xxxxxx;IT;2021-08-15;;Public;IT Assunzione di Maria,EN Assumption Day,DE Mariä Himmelfahrt;
xxxxxx;IT;2021-11-01;;Public;IT Ognissanti,EN All Saints' Day,DE Allerheiligen;
xxxxxx;IT;2021-12-08;;Public;IT Immacolata Concezione,EN Immaculate Conception,DE Mariä Empfängnis;
xxxxxx;IT;2021-12-25;;Public;IT Natale di Gesù,EN Christmas Day,DE Weihnachten;
xxxxxx;IT;2021-12-26;;Public;IT Santo Stefano,EN St. Stephen's Day,DE Stefanstag;

xxxxxx;IT;2022-01-01;;Public;IT Capodanno,EN New Year's Day,DE Neujahr;
xxxxxx;IT;2022-01-06;;Public;IT Epifania,EN Epiphany,DE Heilige drei Könige;
xxxxxx;IT;2022-04-18;;Public;IT Lunedì di Pasqua,EN Easter Monday,DE Ostermontag;
xxxxxx;IT;2022-04-25;;Public;IT Anniversario della liberazione d'Italia,EN Liberation Day,DE Jahrestag der Befreiung;
xxxxxx;IT;2022-05-01;;Public;IT Festa del lavoro,EN Labour Day,DE Tag der Arbeit;
xxxxxx;IT;2022-06-02;;Public;IT Festa della Repubblica,EN Republic Day,DE Tag der Republik;
xxxxxx;IT;2022-08-15;;Public;IT Assunzione di Maria,EN Assumption Day,DE Mariä Himmelfahrt;
xxxxxx;IT;2022-11-01;;Public;IT Ognissanti,EN All Saints' Day,DE Allerheiligen;
xxxxxx;IT;2022-12-08;;Public;IT Immacolata Concezione,EN Immaculate Conception,DE Mariä Empfängnis;
xxxxxx;IT;2022-12-25;;Public;IT Natale di Gesù,EN Christmas Day,DE Weihnachten;
xxxxxx;IT;2022-12-26;;Public;IT Santo Stefano,EN St. Stephen's Day,DE Stefanstag;

xxxxxx;IT;2023-01-01;;Public;IT Capodanno,EN New Year's Day,DE Neujahr;
xxxxxx;IT;2023-01-06;;Public;IT Epifania,EN Epiphany,DE Heilige drei Könige;
xxxxxx;IT;2023-04-10;;Public;IT Lunedì di Pasqua,EN Easter Monday,DE Ostermontag;
xxxxxx;IT;2023-04-25;;Public;IT Anniversario della liberazione d'Italia,EN Liberation Day,DE Jahrestag der Befreiung;
xxxxxx;IT;2023-05-01;;Public;IT Festa del lavoro,EN Labour Day,DE Tag der Arbeit;
xxxxxx;IT;2023-06-02;;Public;IT Festa della Repubblica,EN Republic Day,DE Tag der Republik;
xxxxxx;IT;2023-08-15;;Public;IT Assunzione di Maria,EN Assumption Day,DE Mariä Himmelfahrt;
xxxxxx;IT;2023-11-01;;Public;IT Ognissanti,EN All Saints' Day,DE Allerheiligen;
xxxxxx;IT;2023-12-08;;Public;IT Immacolata Concezione,EN Immaculate Conception,DE Mariä Empfängnis;
xxxxxx;IT;2023-12-25;;Public;IT Natale di Gesù,EN Christmas Day,DE Weihnachten;
xxxxxx;IT;2023-12-26;;Public;IT Santo Stefano,EN St. Stephen's Day,DE Stefanstag;

xxxxxx;IT;2024-01-01;;Public;IT Capodanno,EN New Year's Day,DE Neujahr;
xxxxxx;IT;2024-01-06;;Public;IT Epifania,EN Epiphany,DE Heilige drei Könige;
xxxxxx;IT;2024-04-01;;Public;IT Lunedì di Pasqua,EN Easter Monday,DE Ostermontag;
xxxxxx;IT;2024-04-25;;Public;IT Anniversario della liberazione d'Italia,EN Liberation Day,DE Jahrestag der Befreiung;
xxxxxx;IT;2024-05-01;;Public;IT Festa del lavoro,EN Labour Day,DE Tag der Arbeit;
xxxxxx;IT;2024-06-02;;Public;IT Festa della Repubblica,EN Republic Day,DE Tag der Republik;
xxxxxx;IT;2024-08-15;;Public;IT Assunzione di Maria,EN Assumption Day,DE Mariä Himmelfahrt;
xxxxxx;IT;2024-11-01;;Public;IT Ognissanti,EN All Saints' Day,DE Allerheiligen;
xxxxxx;IT;2024-12-08;;Public;IT Immacolata Concezione,EN Immaculate Conception,DE Mariä Empfängnis;
xxxxxx;IT;2024-12-25;;Public;IT Natale di Gesù,EN Christmas Day,DE Weihnachten;
xxxxxx;IT;2024-12-26;;Public;IT Santo Stefano,EN St. Stephen's Day,DE Stefanstag;

xxxxxx;IT;2025-01-01;;Public;IT Capodanno,EN New Year's Day,DE Neujahr;
xxxxxx;IT;2025-01-06;;Public;IT Epifania,EN Epiphany,DE Heilige drei Könige;
xxxxxx;IT;2025-04-21;;Public;IT Lunedì di Pasqua,EN Easter Monday,DE Ostermontag;
xxxxxx;IT;2025-04-25;;Public;IT Anniversario della liberazione d'Italia,EN Liberation Day,DE Jahrestag der Befreiung;
xxxxxx;IT;2025-05-01;;Public;IT Festa del lavoro,EN Labour Day,DE Tag der Arbeit;
xxxxxx;IT;2025-06-02;;Public;IT Festa della Repubblica,EN Republic Day,DE Tag der Republik;
xxxxxx;IT;2025-08-15;;Public;IT Assunzione di Maria,EN Assumption Day,DE Mariä Himmelfahrt;
xxxxxx;IT;2025-11-01;;Public;IT Ognissanti,EN All Saints' Day,DE Allerheiligen;
xxxxxx;IT;2025-12-08;;Public;IT Immacolata Concezione,EN Immaculate Conception,DE Mariä Empfängnis;
xxxxxx;IT;2025-12-25;;Public;IT Natale di Gesù,EN Christmas Day,DE Weihnachten;
xxxxxx;IT;2025-12-26;;Public;IT Santo Stefano,EN St. Stephen's Day,DE Stefanstag;

xxxxxx;IT;2026-01-01;;Public;IT Capodanno,EN New Year's Day,DE Neujahr;
xxxxxx;IT;2026-01-06;;Public;IT Epifania,EN Epiphany,DE Heilige drei Könige;
xxxxxx;IT;2026-04-06;;Public;IT Lunedì di Pasqua,EN Easter Monday,DE Ostermontag;
xxxxxx;IT;2026-04-25;;Public;IT Anniversario della liberazione d'Italia,EN Liberation Day,DE Jahrestag der Befreiung;
xxxxxx;IT;2026-05-01;;Public;IT Festa del lavoro,EN Labour Day,DE Tag der Arbeit;
xxxxxx;IT;2026-06-02;;Public;IT Festa della Repubblica,EN Republic Day,DE Tag der Republik;
xxxxxx;IT;2026-08-15;;Public;IT Assunzione di Maria,EN Assumption Day,DE Mariä Himmelfahrt;
xxxxxx;IT;2026-11-01;;Public;IT Ognissanti,EN All Saints' Day,DE Allerheiligen;
xxxxxx;IT;2026-12-08;;Public;IT Immacolata Concezione,EN Immaculate Conception,DE Mariä Empfängnis;
